id,last_evaluation_satisfaction_score,number_projects,average_montly_hours,time_spent_at_company,salary,IT,accounting,customer_support,hr,management,marketing,product_mng,product_support,rd,research,sales,support,technical,current_satisfaction_score,left_company
5038,58.0,3.0,201.0,3.0,119000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,60.0,no
5061,89.0,3.0,257.0,3.0,127000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,66.0,no
5098,58.0,4.0,178.0,4.0,117000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,74.0,no
5175,69.0,3.0,231.0,3.0,145000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,67.0,no
5196,88.0,3.0,173.0,3.0,71000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.0,no
5266,69.0,3.0,231.0,3.0,136000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,67.0,no
5323,81.0,4.0,209.0,4.0,130000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,83.0,no
5358,75.0,4.0,199.0,3.0,72000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,41.0,no
5479,77.0,4.0,142.0,3.0,120000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,61.0,no
5509,59.0,4.0,165.0,3.0,119000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,86.0,no
5540,87.0,4.0,221.0,3.0,71000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,62.0,no
5580,78.0,3.0,153.0,3.0,113000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,63.0,no
5623,79.0,4.0,184.0,3.0,58000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,68.0,no
5686,83.0,3.0,148.0,3.0,69000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,67.0,no
5763,64.0,3.0,260.0,3.0,110000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,56.0,no
5776,65.0,3.0,202.0,3.0,56000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,54.0,no
5839,73.0,3.0,163.0,3.0,68000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,53.0,no
5861,61.0,4.0,200.0,3.0,64000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,58.0,no
6046,86.0,4.0,257.0,3.0,57000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,58.0,no
6120,52.0,3.0,155.0,3.0,61000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,35.0,no
6142,84.0,3.0,258.0,4.0,57000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,58.0,no
6166,66.0,4.0,258.0,3.0,66000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,78.0,no
6278,76.0,3.0,153.0,3.0,134000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.0,no
6452,86.0,3.0,187.0,3.0,72000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,88.0,no
6463,60.0,4.0,235.0,4.0,61000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,91.0,no
6595,54.0,3.0,138.0,4.0,71000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,35.0,no
6701,80.0,3.0,219.0,3.0,137000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,72.0,no
6939,83.0,4.0,208.0,3.0,56000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,86.0,no
6986,93.0,4.0,187.0,4.0,73000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,76.0,no
6989,74.0,3.0,160.0,3.0,112000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,61.0,no
7115,63.0,3.0,209.0,3.0,69000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,70.0,no
7173,74.0,4.0,179.0,3.0,63000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,66.0,no
7192,56.0,3.0,207.0,3.0,73000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,75.0,no
7247,84.0,3.0,172.0,3.0,106000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,87.0,no
7259,94.0,4.0,264.0,4.0,58000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,91.0,no
7323,68.0,3.0,245.0,4.0,135000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.0,no
7332,93.0,3.0,247.0,3.0,146000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,82.0,no
7454,69.0,4.0,171.0,3.0,137000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,73.0,no
7498,88.0,3.0,202.0,4.0,73000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,51.0,no
7508,65.0,4.0,265.0,3.0,72000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,57.0,no
7577,66.0,3.0,188.0,4.0,116000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,64.0,no
7597,92.0,3.0,211.0,3.0,124000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,75.0,no
7626,63.0,4.0,204.0,4.0,121000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,56.0,no
7645,51.0,4.0,157.0,3.0,121000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,65.0,no
7690,72.0,3.0,216.0,4.0,66000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.0,no
7779,57.0,3.0,209.0,3.0,121000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,78.0,no
7826,66.0,3.0,234.0,3.0,101000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,85.0,no
7830,67.0,3.0,245.0,3.0,143000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,65.0,no
7964,79.0,4.0,234.0,3.0,74000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,52.0,no
7988,82.0,3.0,192.0,3.0,63000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,52.0,no
8055,53.0,4.0,160.0,4.0,132000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.0,no
8153,62.0,3.0,254.0,3.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,90.0,no
8299,79.0,4.0,222.0,3.0,57000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,84.0,no
8395,57.0,3.0,179.0,3.0,123000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,64.0,no
8582,87.0,3.0,199.0,3.0,120000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,91.0,no
8603,78.0,3.0,223.0,3.0,63000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,58.0,no
8652,52.0,4.0,168.0,3.0,105000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,52.0,no
8658,77.0,4.0,157.0,4.0,66000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,60.0,no
