last_evaluation_satisfaction_score,number_projects,average_montly_hours,time_spent_at_company,salary,IT,accounting,customer_support,hr,management,marketing,product_mng,product_support,rd,research,sales,support,technical,current_satisfaction_score
-0.992857262261,-1.0374589073,0.0120944993391,-0.629937074982,0.770256223447,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.170867171062
1.26942216011,-1.0374589073,1.42377949324,-0.629937074982,1.02969082653,0,0,0,0,0,0,0,0,0,0,1,0,0,0.167453809895
-0.992857262261,0.963779122356,-0.567704694585,1.58728375992,0.705397572676,0,0,0,0,0,0,0,0,0,0,1,0,0,0.618548451171
-0.190112951099,-1.0374589073,0.768354317501,-0.629937074982,1.61341868347,0,0,0,0,0,0,0,0,0,0,0,0,1,0.223840640055
1.19644540455,-1.0374589073,-0.693747997612,-0.629937074982,-0.786351395052,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.452801321859
-0.190112951099,-1.0374589073,0.768354317501,-0.629937074982,1.321554755,0,0,0,0,0,0,0,0,0,0,0,0,1,0.223840640055
0.685608115625,0.963779122356,0.213763784182,1.58728375992,1.12697880269,1,0,0,0,0,0,0,0,0,0,0,0,0,1.12602992261
0.247747582263,0.963779122356,-0.0383228218717,-0.629937074982,-0.753922069667,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.24221694409
0.393701093383,0.963779122356,-1.47521647638,-0.629937074982,0.802685548833,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.114480340902
-0.919880506701,0.963779122356,-0.895417282455,-0.629937074982,0.770256223447,0,0,0,0,0,0,0,0,0,0,1,0,0,1.29519041308
1.12346864899,0.963779122356,0.516267711447,-0.629937074982,-0.786351395052,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0580935107427
0.466677848944,-1.0374589073,-1.19792120972,-0.629937074982,0.575680271135,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.00170668058327
0.539654604504,0.963779122356,-0.416452730953,-0.629937074982,-1.20793262506,0,0,0,0,0,1,0,0,0,0,0,0,0,0.280227470214
0.831561626745,-1.0374589073,-1.32396451275,-0.629937074982,-0.851210045823,0,0,0,0,0,0,0,0,0,0,0,1,0,0.223840640055
-0.5549967289,-1.0374589073,1.49940547506,-0.629937074982,0.478392294979,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.3964144917
-0.48201997334,-1.0374589073,0.0373031599445,-0.629937074982,-1.27279127583,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.509188152018
0.101794071142,-1.0374589073,-0.945834603666,-0.629937074982,-0.883639371209,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.565574982178
-0.773926995581,0.963779122356,-0.0131141612663,-0.629937074982,-1.01335667275,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.283640831381
1.05049189343,0.963779122356,1.42377949324,-0.629937074982,-1.24036195045,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.283640831381
