id,left_company
5012,no
5038,no
5061,no
5065,no
5098,no
5107,no
5120,no
5126,no
5156,no
5169,no
5170,no
5175,no
5189,no
5196,no
5212,no
5224,no
5248,no
5261,no
5266,no
5275,no
5281,no
5292,no
5306,no
5313,no
5323,no
5330,no
5347,no
5358,no
5384,no
5397,no
5415,no
5418,no
5432,no
5442,no
5448,no
5464,no
5479,no
5487,no
5490,no
5500,no
5509,no
5538,no
5540,no
5541,no
5544,no
5559,no
5580,no
5586,no
5589,no
5606,no
5610,no
5623,no
5630,no
5635,no
5652,no
5661,no
5674,no
5684,no
5686,no
5691,no
5708,no
5717,no
5730,no
5746,no
5748,no
5763,no
5776,no
5777,no
5791,no
5808,no
5812,no
5839,no
5861,no
5869,no
5898,no
5902,no
5930,no
5962,no
5963,no
5970,no
5986,no
5994,no
6000,no
6038,no
6046,no
6057,no
6079,no
6102,no
6107,no
6120,no
6138,no
6142,no
6155,no
6166,no
6171,no
6181,no
6192,no
6201,no
6211,no
6220,no
6237,no
6238,no
6261,no
6276,no
6278,no
6295,no
6307,no
6340,no
6364,no
6377,no
6386,no
6389,no
6416,no
6426,no
6442,no
6452,no
6463,no
6479,no
6491,no
6507,no
6518,no
6530,no
6549,no
6553,no
6557,no
6571,no
6585,no
6595,no
6601,no
6663,no
6679,no
6685,no
6701,no
6747,no
6768,no
6797,no
6800,no
6808,no
6849,no
6857,no
6873,no
6919,no
6923,no
6939,no
6950,no
6974,no
6976,no
6986,no
6989,no
6996,no
7010,no
7024,no
7030,no
7039,no
7048,no
7065,no
7088,no
7090,no
7115,no
7128,no
7139,no
7173,no
7176,no
7189,no
7192,no
7208,no
7224,no
7236,no
7247,no
7259,no
7266,no
7270,no
7286,no
7287,no
7295,no
7309,no
7314,no
7323,no
7325,no
7332,no
7343,no
7351,no
7358,no
7378,no
7393,no
7396,no
7413,no
7415,no
7454,no
7471,no
7487,no
7498,no
7508,no
7518,no
7525,no
7537,no
7552,no
7577,no
7592,no
7597,no
7626,no
7643,no
7645,no
7660,no
7664,no
7680,no
7690,no
7697,no
7702,no
7705,no
7721,no
7731,no
7741,no
7756,no
7759,no
7762,no
7770,no
7779,no
7787,no
7800,no
7806,no
7819,no
7826,no
7830,no
7834,no
7836,no
7844,no
7851,no
7859,no
7861,no
7870,no
7887,no
7888,no
7901,no
7914,no
7918,no
7924,no
7937,no
7950,no
7955,no
7964,no
7988,no
7990,no
8003,no
8027,no
8033,no
8050,no
8054,no
8055,no
8071,no
8077,no
8095,no
8097,no
8112,no
8117,no
8122,no
8132,no
8140,no
8151,no
8153,no
8154,no
8157,no
8161,no
8179,no
8192,no
8199,no
8212,no
8240,no
8250,no
8260,no
8270,no
8278,no
8280,no
8288,no
8299,no
8314,no
8315,no
8326,no
8335,no
8352,no
8369,no
8370,no
8386,no
8392,no
8395,no
8411,no
8420,no
8434,no
8435,no
8444,no
8458,no
8463,no
8474,no
8475,no
8480,no
8489,no
8495,no
8504,no
8507,no
8519,no
8522,no
8537,no
8543,no
8555,no
8582,no
8588,no
8603,no
8610,no
8614,no
8624,no
8631,no
8652,no
8658,no
8670,no
8681,no
8694,no
8713,no
8716,no
8728,no
8762,no
8766,no
8775,no
8795,no
8812,no
8825,no
8838,no
8864,no
8872,no
8903,no
8915,no
8926,no
8942,no
8953,no
8978,no
8986,no
9002,no
9018,no
9021,no
9034,no
9052,no
9066,no
9080,no
9097,no
9102,no
9103,no
9124,no
9138,no
9149,no
9166,no
9192,no
9197,no
9213,no
9215,no
9228,no
9240,no
9248,no
9264,no
9267,no
9283,no
9294,no
9305,no
9317,no
9326,no
9333,no
9345,no
9347,no
9350,no
9375,no
9381,no
9388,no
9397,no
9417,no
9423,no
9435,no
9464,no
9479,no
9490,no
9501,no
9557,no
9565,no
9569,no
9583,no
9590,no
9593,no
9600,no
9626,no
9643,no
9647,no
9663,no
9686,no
9691,no
9706,no
9728,no
9743,no
9754,no
9769,no
9770,no
9786,no
9796,no
9815,no
9821,no
9830,no
9850,no
9867,no
9882,no
9902,no
9918,no
9946,no
9955,no
9958,no
9968,no
9985,no
9999,no
10009,no
10011,no
10021,no
10026,no
10047,no
10048,no
10063,no
10068,no
10073,no
10101,no
10109,no
10121,no
10128,no
10145,no
10156,no
10162,no
10182,no
10198,no
10211,no
10250,no
10255,no
10272,no
10277,no
10281,no
10298,no
10313,no
10344,no
10348,no
10351,no
10358,no
10366,no
10381,no
10410,no
10422,no
10432,no
10441,no
10452,no
10453,no
10472,no
10475,no
10489,no
10508,no
10509,no
10510,no
10527,no
10536,no
10555,no
10571,no
10598,no
10610,no
10627,no
10641,no
10646,no
10655,no
10669,no
10685,no
10689,no
10696,no
10697,no
10701,no
10711,no
10722,no
10723,no
10739,no
10751,no
10762,no
10774,no
10778,no
10780,no
10791,no
10798,no
10805,no
10820,no
10826,no
10833,no
10849,no
10852,no
10854,no
10855,no
10865,no
10868,no
10885,no
10901,no
10919,no
10932,no
10942,no
10952,no
10959,no
10960,no
10993,no
11018,no
11032,no
11042,no
11049,no
11066,no
11083,no
11094,no
11101,no
11109,no
11120,no
11130,no
11146,no
11147,no
11154,no
11158,no
11164,no
11171,no
11174,no
11188,no
11197,no
11198,no
11226,no
11241,no
11245,no
11250,no
